Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-01-17 10:00:00,3.0,20S,37.0,1.0,0.74,0.857,0.922,0.937,1.176
2024-01-17 10:00:00,3.0,20S,20.0,1.0,1.42,1.234,1.069,1.191,0.878
2024-01-17 10:00:00,3.0,20S,37.0,2.0,0.857,0.89,0.882,1.818,1.311
2024-01-17 10:00:00,3.0,20S,20.0,2.0,1.15,1.139,0.89,1.16,1.021
2024-01-17 10:00:00,3.0,20S,37.0,3.0,0.956,1.159,0.97,1.304,1.184
2024-01-17 10:00:00,3.0,20S,20.0,3.0,1.253,0.843,1.016,1.147,1.143
2024-01-17 10:00:00,3.0,20S,37.0,4.0,1.113,1.002,1.07,1.751,1.192
2024-01-17 10:00:00,3.0,20S,20.0,4.0,1.099,0.909,1.091,1.038,0.861
2024-01-17 10:00:00,3.0,20S,37.0,5.0,0.697,0.775,0.59,0.774,1.521
2024-01-17 10:00:00,3.0,20S,20.0,5.0,1.054,0.814,0.815,0.777,0.953
2024-01-17 10:00:00,3.0,20S,37.0,6.0,0.828,0.869,1.182,2.116,1.448
2024-01-17 10:00:00,3.0,20S,20.0,6.0,0.967,1.2,1.305,1.246,0.987
2024-01-17 10:00:00,3.0,20S,37.0,7.0,0.729,0.805,0.883,0.847,0.814
2024-01-17 10:00:00,3.0,20S,20.0,7.0,1.067,1.362,1.216,1.275,1.073
2024-01-17 10:00:00,3.0,20S,37.0,8.0,1.076,1.049,1.121,1.179,1.108
2024-01-17 10:00:00,3.0,20S,20.0,8.0,1.156,1.028,0.911,0.953,0.856
2024-01-17 10:00:00,3.0,20S,37.0,9.0,1.073,1.186,1.142,1.417,1.735
2024-01-17 10:00:00,3.0,20S,20.0,9.0,0.786,0.774,0.818,1.196,1.028
2024-01-17 10:00:00,3.0,20S,37.0,10.0,1.159,0.894,1.357,0.986,1.363
2024-01-17 10:00:00,3.0,20S,20.0,10.0,1.05,1.244,1.146,1.184,1.176
2024-01-17 10:00:00,3.0,20S,37.0,11.0,0.828,0.96,1.028,0.894,1.081
2024-01-17 10:00:00,3.0,20S,20.0,11.0,0.982,1.142,1.111,0.994,0.983
2024-01-17 10:00:00,3.0,20S,37.0,12.0,1.235,1.028,1.194,1.32,1.112
2024-01-17 10:00:00,3.0,20S,20.0,12.0,1.301,1.063,1.17,0.975,0.92
2024-01-17 10:00:00,3.0,37S,37.0,1.0,0.542,0.441,0.51,0.442,0.615
2024-01-17 10:00:00,3.0,37S,20.0,1.0,0.233,0.267,0.276,0.229,0.285
2024-01-17 10:00:00,3.0,37S,37.0,2.0,0.536,0.638,0.67,0.581,0.683
2024-01-17 10:00:00,3.0,37S,20.0,2.0,0.26,0.248,0.274,0.254,0.256
2024-01-17 10:00:00,3.0,37S,37.0,3.0,0.855,0.703,0.88,0.789,0.745
2024-01-17 10:00:00,3.0,37S,20.0,3.0,0.266,0.302,0.325,0.304,0.428
2024-01-17 10:00:00,3.0,37S,37.0,4.0,0.391,0.567,0.476,0.575,0.54
2024-01-17 10:00:00,3.0,37S,20.0,4.0,0.233,0.228,0.21,0.218,0.236
2024-01-17 10:00:00,3.0,37S,37.0,5.0,0.543,0.658,0.634,0.526,0.793
2024-01-17 10:00:00,3.0,37S,20.0,5.0,0.201,0.297,0.231,0.271,0.219
2024-01-17 10:00:00,3.0,37S,37.0,6.0,0.55,0.5,0.566,0.469,0.731
2024-01-17 10:00:00,3.0,37S,20.0,6.0,0.291,0.239,0.201,0.132,0.255
2024-01-17 10:00:00,3.0,37S,37.0,7.0,0.392,0.423,0.305,0.312,0.407
2024-01-17 10:00:00,3.0,37S,20.0,7.0,0.217,0.18,0.235,0.216,0.285
2024-01-17 10:00:00,3.0,37S,37.0,8.0,0.428,0.456,0.495,0.37,0.339
2024-01-17 10:00:00,3.0,37S,20.0,8.0,0.203,0.211,0.206,0.21,0.205
2024-01-17 10:00:00,3.0,37S,37.0,9.0,0.675,0.72,1.026,0.724,0.693
2024-01-17 10:00:00,3.0,37S,20.0,9.0,0.177,0.209,0.224,0.174,0.197
2024-01-17 10:00:00,3.0,37S,37.0,10.0,0.378,0.613,0.407,0.449,0.431
2024-01-17 10:00:00,3.0,37S,20.0,10.0,0.17,0.246,0.198,0.229,0.215
2024-01-17 10:00:00,3.0,37S,37.0,11.0,0.401,0.39,0.339,0.457,0.48
2024-01-17 10:00:00,3.0,37S,20.0,11.0,0.162,0.223,0.18,0.194,0.189
2024-01-17 10:00:00,3.0,37S,37.0,12.0,0.53,0.415,0.556,0.563,0.695
2024-01-17 10:00:00,3.0,37S,20.0,12.0,0.226,0.356,0.278,0.366,0.332
2024-01-17 10:00:00,3.0,P,37.0,1.0,0.368,0.424,0.457,0.579,0.565
2024-01-17 10:00:00,3.0,P,20.0,1.0,0.71,0.288,0.356,0.295,0.607
2024-01-17 10:00:00,3.0,P,37.0,2.0,0.237,0.222,0.209,0.235,0.265
2024-01-17 10:00:00,3.0,P,20.0,2.0,0.273,0.457,0.19,0.16,0.521
2024-01-17 10:00:00,3.0,P,37.0,3.0,0.202,0.153,0.144,0.036,0.459
2024-01-17 10:00:00,3.0,P,20.0,3.0,0.237,0.226,0.431,0.223,0.259
2024-01-17 10:00:00,3.0,P,37.0,4.0,0.446,0.315,0.375,0.394,0.46
2024-01-17 10:00:00,3.0,P,20.0,4.0,0.329,0.288,0.508,0.29,0.271
2024-01-17 10:00:00,3.0,P,37.0,5.0,0.418,0.318,0.391,0.483,0.712
2024-01-17 10:00:00,3.0,P,20.0,5.0,0.365,0.461,0.319,0.21,0.263
2024-01-17 10:00:00,3.0,P,37.0,6.0,0.22,0.344,0.597,0.616,0.388
2024-01-17 10:00:00,3.0,P,20.0,6.0,0.237,0.448,0.268,0.239,0.179
2024-01-17 10:00:00,3.0,P,37.0,7.0,0.299,0.352,0.28,0.272,0.276
2024-01-17 10:00:00,3.0,P,20.0,7.0,0.237,0.532,0.404,0.281,0.336
2024-01-17 10:00:00,3.0,P,37.0,8.0,0.509,0.656,0.472,0.535,0.669
2024-01-17 10:00:00,3.0,P,20.0,8.0,0.263,0.346,0.21,0.294,0.451
2024-01-17 10:00:00,3.0,P,37.0,9.0,0.56,0.452,0.546,0.624,0.458
2024-01-17 10:00:00,3.0,P,20.0,9.0,0.637,0.197,0.557,0.203,0.245
2024-01-17 10:00:00,3.0,P,37.0,10.0,0.616,0.296,0.656,0.448,0.43
2024-01-17 10:00:00,3.0,P,20.0,10.0,0.194,0.223,0.24,0.436,0.35
2024-01-17 10:00:00,3.0,P,37.0,11.0,0.474,0.399,0.412,0.386,0.525
2024-01-17 10:00:00,3.0,P,20.0,11.0,0.442,0.301,0.615,0.18,0.169
2024-01-17 10:00:00,3.0,P,37.0,12.0,0.784,0.63,0.587,0.467,0.734
2024-01-17 10:00:00,3.0,P,20.0,12.0,0.363,0.189,0.378,0.424,0.259
2024-01-18 10:00:00,3.0,20S,37.0,1.0,0.789,0.862,0.904,0.944,1.141
2024-01-18 10:00:00,3.0,20S,20.0,1.0,1.629,1.493,1.546,1.428,0.981
2024-01-18 10:00:00,3.0,20S,37.0,2.0,0.83,0.856,0.861,1.784,1.284
2024-01-18 10:00:00,3.0,20S,20.0,2.0,1.588,1.446,1.492,1.56,1.592
2024-01-18 10:00:00,3.0,20S,37.0,3.0,0.951,1.104,0.934,1.278,1.214
2024-01-18 10:00:00,3.0,20S,20.0,3.0,1.476,1.424,1.55,1.516,1.547
2024-01-18 10:00:00,3.0,20S,37.0,4.0,1.052,0.972,1.016,1.676,1.148
2024-01-18 10:00:00,3.0,20S,20.0,4.0,1.477,1.472,1.609,1.585,1.542
2024-01-18 10:00:00,3.0,20S,37.0,5.0,0.735,0.786,0.634,0.769,1.888
2024-01-18 10:00:00,3.0,20S,20.0,5.0,1.469,1.586,1.412,1.555,1.283
2024-01-18 10:00:00,3.0,20S,37.0,6.0,0.818,0.892,1.144,1.982,1.396
2024-01-18 10:00:00,3.0,20S,20.0,6.0,1.576,1.546,1.368,1.477,1.569
2024-01-18 10:00:00,3.0,20S,37.0,7.0,0.75,0.787,0.852,0.855,0.794
