Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-02-12 10:00:00,4.0,20S,37.0,1.0,0.081,0.073,0.078,0.099,0.087
2024-02-12 10:00:00,4.0,20S,20.0,1.0,0.07,0.075,0.093,0.076,0.082
2024-02-12 10:00:00,4.0,20S,37.0,2.0,0.073,0.094,0.089,0.102,0.095
2024-02-12 10:00:00,4.0,20S,20.0,2.0,0.057,0.081,0.063,0.087,0.076
2024-02-12 10:00:00,4.0,20S,37.0,3.0,0.067,0.078,0.075,0.058,0.083
2024-02-12 10:00:00,4.0,20S,20.0,3.0,0.075,0.073,0.071,0.067,0.069
2024-02-12 10:00:00,4.0,20S,37.0,4.0,0.078,0.088,0.076,0.079,0.09
2024-02-12 10:00:00,4.0,20S,20.0,4.0,0.077,0.088,0.062,0.08,0.066
2024-02-12 10:00:00,4.0,20S,37.0,5.0,0.064,0.105,0.062,0.073,0.068
2024-02-12 10:00:00,4.0,20S,20.0,5.0,0.065,0.056,0.057,0.066,0.067
2024-02-12 10:00:00,4.0,20S,37.0,6.0,0.073,0.088,0.074,0.087,0.088
2024-02-12 10:00:00,4.0,20S,20.0,6.0,0.066,0.059,0.084,0.076,0.062
2024-02-12 10:00:00,4.0,20S,37.0,7.0,0.067,0.082,0.08,0.087,0.076
2024-02-12 10:00:00,4.0,20S,20.0,7.0,0.071,0.068,0.07,0.082,0.065
2024-02-12 10:00:00,4.0,20S,37.0,8.0,0.073,0.064,0.104,0.081,0.068
2024-02-12 10:00:00,4.0,20S,20.0,8.0,0.077,0.058,0.071,0.071,0.084
2024-02-12 10:00:00,4.0,20S,37.0,9.0,0.086,0.084,0.079,0.086,0.077
2024-02-12 10:00:00,4.0,20S,20.0,9.0,0.065,0.066,0.063,0.074,0.054
2024-02-12 10:00:00,4.0,20S,37.0,10.0,0.089,0.088,0.092,0.129,0.085
2024-02-12 10:00:00,4.0,20S,20.0,10.0,0.071,0.095,0.062,0.076,0.091
2024-02-12 10:00:00,4.0,20S,37.0,11.0,0.074,0.072,0.072,0.081,0.095
