Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-04-30 20:00:00,6.0,20S,37.0,1.0,1.079,0.923,0.571,0.734,0.748
2024-04-30 20:00:00,6.0,20S,20.0,1.0,0.712,0.78,0.894,0.584,0.552
2024-04-30 20:00:00,6.0,20S,37.0,2.0,0.643,0.491,0.651,0.49,0.629
2024-04-30 20:00:00,6.0,20S,20.0,2.0,0.612,0.67,0.821,0.759,0.46
2024-04-30 20:00:00,6.0,20S,37.0,3.0,0.566,0.627,0.549,0.666,0.558
2024-04-30 20:00:00,6.0,20S,20.0,3.0,0.67,0.631,0.68,0.387,0.739
2024-04-30 20:00:00,6.0,20S,37.0,4.0,0.766,0.815,0.753,0.467,0.763
2024-04-30 20:00:00,6.0,20S,20.0,4.0,0.446,0.982,1.139,0.493,0.807
2024-04-30 20:00:00,6.0,20S,37.0,5.0,0.54,0.693,0.738,0.705,0.606
2024-04-30 20:00:00,6.0,20S,20.0,5.0,0.529,0.615,0.916,0.961,0.525
2024-04-30 20:00:00,6.0,20S,37.0,6.0,0.827,0.645,0.513,0.656,0.643
2024-04-30 20:00:00,6.0,20S,20.0,6.0,0.942,0.668,0.996,0.54,0.9
2024-04-30 20:00:00,6.0,20S,37.0,7.0,0.931,0.568,0.572,0.913,0.755
2024-04-30 20:00:00,6.0,20S,20.0,7.0,0.788,0.606,0.742,1.014,0.753
2024-04-30 20:00:00,6.0,20S,37.0,8.0,0.661,0.637,0.646,0.717,0.765
2024-04-30 20:00:00,6.0,20S,20.0,8.0,0.522,0.701,0.651,0.523,1.016
2024-04-30 20:00:00,6.0,20S,37.0,9.0,0.6,0.604,0.658,0.51,0.499
2024-04-30 20:00:00,6.0,20S,20.0,9.0,0.444,0.543,0.583,0.876,0.979
2024-04-30 20:00:00,6.0,20S,37.0,10.0,0.657,0.842,0.583,0.823,0.613
2024-04-30 20:00:00,6.0,20S,20.0,10.0,0.67,0.866,0.802,1.064,0.887
2024-04-30 20:00:00,6.0,20S,37.0,11.0,0.646,0.57,0.626,0.582,0.402
2024-04-30 20:00:00,6.0,20S,20.0,11.0,0.589,0.782,0.734,0.612,0.95
2024-04-30 20:00:00,6.0,20S,37.0,12.0,0.709,0.791,0.706,0.731,0.713
2024-04-30 20:00:00,6.0,20S,20.0,12.0,0.721,0.675,0.68,0.564,0.845
2024-04-30 20:00:00,6.0,37S,37.0,1.0,0.807,1.1,0.695,0.854,0.855
2024-04-30 20:00:00,6.0,37S,20.0,1.0,0.565,0.853,0.933,0.482,0.598
2024-04-30 20:00:00,6.0,37S,37.0,2.0,0.873,0.599,0.719,0.7,0.741
2024-04-30 20:00:00,6.0,37S,20.0,2.0,0.655,0.555,0.759,0.356,0.515
2024-04-30 20:00:00,6.0,37S,37.0,3.0,0.879,0.707,0.746,0.887,1.204
2024-04-30 20:00:00,6.0,37S,20.0,3.0,0.412,0.746,0.442,0.409,0.649
2024-04-30 20:00:00,6.0,37S,37.0,4.0,0.713,1.01,0.531,0.856,0.474
2024-04-30 20:00:00,6.0,37S,20.0,4.0,0.413,1.007,0.717,0.396,0.77
2024-04-30 20:00:00,6.0,37S,37.0,5.0,0.71,0.723,0.988,0.667,0.563
2024-04-30 20:00:00,6.0,37S,20.0,5.0,0.323,0.502,0.514,0.633,0.54
2024-04-30 20:00:00,6.0,37S,37.0,6.0,0.823,1.055,0.911,0.696,0.677
2024-04-30 20:00:00,6.0,37S,20.0,6.0,0.733,1.034,0.989,1.034,0.792
2024-04-30 20:00:00,6.0,37S,37.0,7.0,0.656,0.625,0.574,0.76,0.969
2024-04-30 20:00:00,6.0,37S,20.0,7.0,0.485,0.348,0.342,0.68,0.905
2024-04-30 20:00:00,6.0,37S,37.0,8.0,0.963,1.222,0.834,0.957,0.81
2024-04-30 20:00:00,6.0,37S,20.0,8.0,0.538,0.583,0.649,0.778,0.823
2024-04-30 20:00:00,6.0,37S,37.0,9.0,0.763,1.021,0.869,0.827,0.489
2024-04-30 20:00:00,6.0,37S,20.0,9.0,0.573,0.523,0.601,0.785,0.733
2024-04-30 20:00:00,6.0,37S,37.0,10.0,0.683,0.897,0.764,0.854,0.825
2024-04-30 20:00:00,6.0,37S,20.0,10.0,0.613,0.551,0.778,0.461,0.52
2024-04-30 20:00:00,6.0,37S,37.0,11.0,0.904,0.82,0.821,0.922,0.854
2024-04-30 20:00:00,6.0,37S,20.0,11.0,0.407,0.597,0.632,0.536,0.586
2024-04-30 20:00:00,6.0,37S,37.0,12.0,0.825,0.562,0.928,0.615,0.762
2024-04-30 20:00:00,6.0,37S,20.0,12.0,0.78,0.484,0.86,0.445,0.424
2024-04-30 20:00:00,6.0,P,37.0,1.0,0.928,0.767,0.546,0.838,0.672
2024-04-30 20:00:00,6.0,P,20.0,1.0,0.47,0.421,0.711,0.409,0.62
2024-04-30 20:00:00,6.0,P,37.0,2.0,0.792,0.975,0.507,1.115,0.569
2024-04-30 20:00:00,6.0,P,20.0,2.0,0.796,0.439,0.613,0.758,0.521
2024-04-30 20:00:00,6.0,P,37.0,3.0,0.997,0.865,0.833,1.03,0.771
2024-04-30 20:00:00,6.0,P,20.0,3.0,0.434,0.665,0.945,0.551,0.572
2024-04-30 20:00:00,6.0,P,37.0,4.0,1.071,0.947,0.647,0.723,0.597
2024-04-30 20:00:00,6.0,P,20.0,4.0,0.711,0.69,0.724,0.753,0.469
2024-04-30 20:00:00,6.0,P,37.0,5.0,1.023,0.797,1.094,0.598,0.79
2024-04-30 20:00:00,6.0,P,20.0,5.0,0.433,0.746,0.691,0.668,0.431
2024-04-30 20:00:00,6.0,P,37.0,6.0,0.882,0.966,0.905,0.887,0.928
2024-04-30 20:00:00,6.0,P,20.0,6.0,0.928,0.632,0.837,0.532,0.857
2024-04-30 20:00:00,6.0,P,37.0,7.0,0.685,0.88,1.048,0.82,0.806
2024-04-30 20:00:00,6.0,P,20.0,7.0,0.835,0.525,1.031,0.641,0.657
