Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-06-25 10:00:00,8.0,20S,37.0,1.0,0.598,0.336,0.629,0.353,0.764
2024-06-25 10:00:00,8.0,20S,20.0,1.0,0.347,0.492,0.528,0.564,0.473
2024-06-25 10:00:00,8.0,20S,37.0,2.0,0.603,0.777,0.686,0.59,0.536
2024-06-25 10:00:00,8.0,20S,20.0,2.0,0.511,0.462,0.505,0.558,0.459
2024-06-25 10:00:00,8.0,20S,37.0,3.0,0.51,0.575,0.547,0.6,0.516
2024-06-25 10:00:00,8.0,20S,20.0,3.0,0.348,0.392,0.423,0.428,0.399
2024-06-25 10:00:00,8.0,20S,37.0,4.0,0.519,0.535,0.591,0.481,0.487
2024-06-25 10:00:00,8.0,20S,20.0,4.0,0.273,0.398,0.323,0.391,0.396
2024-06-25 10:00:00,8.0,20S,37.0,5.0,0.294,0.296,0.258,0.314,0.386
2024-06-25 10:00:00,8.0,20S,20.0,5.0,0.391,0.575,0.695,0.566,0.55
2024-06-25 10:00:00,8.0,20S,37.0,6.0,0.455,0.44,0.362,0.511,0.479
2024-06-25 10:00:00,8.0,20S,20.0,6.0,0.517,0.391,0.534,0.529,0.352
2024-06-25 10:00:00,8.0,20S,37.0,7.0,0.723,0.545,0.507,0.488,0.818
2024-06-25 10:00:00,8.0,20S,20.0,7.0,0.534,0.526,0.452,0.443,0.564
2024-06-25 10:00:00,8.0,20S,37.0,8.0,0.717,0.4,0.787,0.745,0.683
2024-06-25 10:00:00,8.0,20S,20.0,8.0,0.293,0.333,0.369,0.411,0.408
2024-06-25 10:00:00,8.0,20S,37.0,9.0,0.412,0.41,0.587,0.404,0.276
2024-06-25 10:00:00,8.0,20S,20.0,9.0,0.223,0.611,0.488,0.406,0.342
2024-06-25 10:00:00,8.0,20S,37.0,10.0,0.874,0.623,0.791,0.666,0.815
2024-06-25 10:00:00,8.0,20S,20.0,10.0,0.48,0.312,0.521,0.423,0.522
2024-06-25 10:00:00,8.0,20S,37.0,11.0,0.452,0.537,0.481,0.577,0.501
2024-06-25 10:00:00,8.0,20S,20.0,11.0,0.4,0.346,0.383,0.401,0.326
2024-06-25 10:00:00,8.0,20S,37.0,12.0,0.831,0.616,0.716,0.678,0.613
2024-06-25 10:00:00,8.0,20S,20.0,12.0,0.466,0.265,0.483,0.427,0.429
2024-06-25 10:00:00,8.0,37S,37.0,1.0,0.8,0.94,1.518,0.78,1.07
2024-06-25 10:00:00,8.0,37S,20.0,1.0,0.274,0.294,0.206,0.228,0.212
2024-06-25 10:00:00,8.0,37S,37.0,2.0,0.605,0.399,0.551,0.328,0.313
2024-06-25 10:00:00,8.0,37S,20.0,2.0,0.142,0.144,0.178,0.111,0.155
2024-06-25 10:00:00,8.0,37S,37.0,3.0,0.792,0.922,0.925,0.606,0.655
2024-06-25 10:00:00,8.0,37S,20.0,3.0,0.416,0.247,0.256,0.53,0.299
2024-06-25 10:00:00,8.0,37S,37.0,4.0,0.77,0.767,1.119,0.577,0.955
2024-06-25 10:00:00,8.0,37S,20.0,4.0,0.265,0.226,0.215,0.242,0.181
2024-06-25 10:00:00,8.0,37S,37.0,5.0,1.34,1.314,1.167,1.561,0.923
2024-06-25 10:00:00,8.0,37S,20.0,5.0,0.275,0.243,0.237,0.244,0.23
2024-06-25 10:00:00,8.0,37S,37.0,6.0,0.928,0.728,0.946,0.9,0.775
2024-06-25 10:00:00,8.0,37S,20.0,6.0,0.183,0.176,0.225,0.217,0.17
2024-06-25 10:00:00,8.0,37S,37.0,7.0,0.877,0.835,0.805,0.793,0.749
2024-06-25 10:00:00,8.0,37S,20.0,7.0,0.201,0.21,0.172,0.16,0.224
2024-06-25 10:00:00,8.0,37S,37.0,8.0,0.943,0.796,0.913,1.14,1.306
2024-06-25 10:00:00,8.0,37S,20.0,8.0,0.218,0.22,0.201,0.188,0.17
2024-06-25 10:00:00,8.0,37S,37.0,9.0,0.985,1.128,1.127,0.975,1.224
2024-06-25 10:00:00,8.0,37S,20.0,9.0,0.274,0.286,0.275,0.263,0.227
2024-06-25 10:00:00,8.0,37S,37.0,10.0,0.689,0.676,0.585,0.742,0.573
2024-06-25 10:00:00,8.0,37S,20.0,10.0,0.216,0.202,0.291,0.263,0.214
2024-06-25 10:00:00,8.0,37S,37.0,11.0,0.753,0.759,1.073,0.839,1.01
2024-06-25 10:00:00,8.0,37S,20.0,11.0,0.204,0.203,0.237,0.204,0.205
2024-06-25 10:00:00,8.0,37S,37.0,12.0,0.869,0.912,0.626,1.212,0.921
2024-06-25 10:00:00,8.0,37S,20.0,12.0,0.329,0.207,0.268,0.252,0.238
2024-06-25 10:00:00,8.0,P,37.0,1.0,0.778,1.017,0.898,0.98,1.329
2024-06-25 10:00:00,8.0,P,20.0,1.0,0.556,0.58,0.683,0.506,0.588
2024-06-25 10:00:00,8.0,P,37.0,2.0,0.709,0.718,0.71,1.018,0.559
2024-06-25 10:00:00,8.0,P,20.0,2.0,0.515,0.365,0.567,0.485,0.537
2024-06-25 10:00:00,8.0,P,37.0,3.0,0.488,0.882,0.584,0.688,0.509
2024-06-25 10:00:00,8.0,P,20.0,3.0,0.448,0.546,0.623,0.45,0.378
2024-06-25 10:00:00,8.0,P,37.0,4.0,0.826,0.988,0.83,0.561,0.969
2024-06-25 10:00:00,8.0,P,20.0,4.0,0.39,0.645,0.568,0.565,0.611
2024-06-25 10:00:00,8.0,P,37.0,5.0,0.631,0.655,0.625,0.666,0.599
2024-06-25 10:00:00,8.0,P,20.0,5.0,0.454,0.722,0.732,0.805,0.503
2024-06-25 10:00:00,8.0,P,37.0,6.0,0.742,0.728,0.842,0.708,0.567
2024-06-25 10:00:00,8.0,P,20.0,6.0,0.265,0.341,0.43,0.54,0.453
2024-06-25 10:00:00,8.0,P,37.0,7.0,1.118,0.873,0.735,0.823,0.718
2024-06-25 10:00:00,8.0,P,20.0,7.0,0.465,0.507,0.58,0.545,0.566
2024-06-25 10:00:00,8.0,P,37.0,8.0,0.679,0.674,0.996,0.775,1.332
2024-06-25 10:00:00,8.0,P,20.0,8.0,0.57,0.592,0.535,0.556,0.693
2024-06-25 10:00:00,8.0,P,37.0,9.0,0.633,0.67,0.576,0.729,0.599
2024-06-25 10:00:00,8.0,P,20.0,9.0,0.349,0.432,0.557,0.552,0.486
2024-06-25 10:00:00,8.0,P,37.0,10.0,0.543,1.069,0.535,1.108,0.607
2024-06-25 10:00:00,8.0,P,20.0,10.0,0.601,0.413,0.566,0.39,0.644
2024-06-25 10:00:00,8.0,P,37.0,11.0,1.091,0.898,0.663,0.866,0.764
2024-06-25 10:00:00,8.0,P,20.0,11.0,0.327,0.597,0.616,0.526,0.8
2024-06-25 10:00:00,8.0,P,37.0,12.0,0.744,1.133,0.714,1.268,1.206
2024-06-25 10:00:00,8.0,P,20.0,12.0,0.484,0.412,0.661,0.658,0.663
2024-06-25 10:00:00,8.0,25S,37.0,1.0,0.307,0.214,0.22,0.275,0.38
2024-06-25 10:00:00,8.0,25S,20.0,1.0,0.473,0.742,0.643,0.472,0.616
2024-06-25 10:00:00,8.0,25S,37.0,2.0,0.418,0.218,0.421,0.414,0.602
2024-06-25 10:00:00,8.0,25S,20.0,2.0,0.286,0.472,0.728,0.455,0.486
2024-06-25 10:00:00,8.0,25S,37.0,3.0,0.935,0.623,0.621,0.48,0.695
2024-06-25 10:00:00,8.0,25S,20.0,3.0,0.406,0.526,0.497,0.474,0.563
2024-06-25 10:00:00,8.0,25S,37.0,4.0,0.573,0.83,0.808,0.486,0.704
2024-06-25 10:00:00,8.0,25S,20.0,4.0,0.432,0.587,0.667,0.674,0.687
