Date,FA#,Condition,Temperature,Colony,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5
2024-05-29 20:00:00,7.0,20S,37.0,1.0,0.774,0.702,0.949,0.639,1.067
2024-05-29 20:00:00,7.0,20S,20.0,1.0,1.419,1.604,1.68,1.571,1.532
2024-05-29 20:00:00,7.0,20S,37.0,2.0,0.607,0.502,0.657,0.461,0.727
2024-05-29 20:00:00,7.0,20S,20.0,2.0,0.921,1.006,1.059,1.11,1.044
2024-05-29 20:00:00,7.0,20S,37.0,3.0,0.434,0.561,0.61,0.438,0.496
2024-05-29 20:00:00,7.0,20S,20.0,3.0,1.021,1.356,1.132,1.192,1.323
2024-05-29 20:00:00,7.0,20S,37.0,4.0,0.458,0.602,0.659,0.479,0.707
2024-05-29 20:00:00,7.0,20S,20.0,4.0,1.662,1.691,1.737,1.641,1.853
2024-05-29 20:00:00,7.0,20S,37.0,5.0,0.498,0.557,0.459,0.584,0.548
2024-05-29 20:00:00,7.0,20S,20.0,5.0,1.461,1.734,1.774,1.789,1.622
2024-05-29 20:00:00,7.0,20S,37.0,6.0,0.746,0.412,0.589,0.602,0.916
2024-05-29 20:00:00,7.0,20S,20.0,6.0,1.746,1.543,1.724,1.701,1.866
2024-05-29 20:00:00,7.0,20S,37.0,7.0,0.772,0.633,0.712,0.629,0.824
2024-05-29 20:00:00,7.0,20S,20.0,7.0,1.683,1.621,1.563,1.546,1.621
2024-05-29 20:00:00,7.0,20S,37.0,8.0,0.531,0.476,0.633,0.715,0.494
2024-05-29 20:00:00,7.0,20S,20.0,8.0,1.436,1.486,1.622,1.555,1.424
2024-05-29 20:00:00,7.0,20S,37.0,9.0,0.33,0.496,0.462,0.382,0.344
2024-05-29 20:00:00,7.0,20S,20.0,9.0,1.442,1.484,1.562,1.506,1.421
2024-05-29 20:00:00,7.0,20S,37.0,10.0,0.603,0.753,0.64,0.856,0.633
2024-05-29 20:00:00,7.0,20S,20.0,10.0,1.569,1.631,1.565,1.46,1.442
2024-05-29 20:00:00,7.0,20S,37.0,11.0,0.64,0.35,0.544,0.635,0.502
2024-05-29 20:00:00,7.0,20S,20.0,11.0,1.645,1.544,1.623,1.727,1.532
2024-05-29 20:00:00,7.0,20S,37.0,12.0,0.376,0.801,0.422,0.781,0.723
2024-05-29 20:00:00,7.0,20S,20.0,12.0,1.428,1.566,1.475,1.496,1.439
2024-05-29 20:00:00,7.0,37S,37.0,1.0,1.471,1.724,2.25,1.536,2.376
2024-05-29 20:00:00,7.0,37S,20.0,1.0,1.526,1.65,1.534,1.703,1.641
2024-05-29 20:00:00,7.0,37S,37.0,2.0,0.876,0.293,1.043,0.638,0.6
2024-05-29 20:00:00,7.0,37S,20.0,2.0,1.127,1.326,1.282,1.193,1.228
2024-05-29 20:00:00,7.0,37S,37.0,3.0,1.575,1.677,1.952,1.298,1.643
2024-05-29 20:00:00,7.0,37S,20.0,3.0,1.437,1.511,1.844,1.479,1.463
2024-05-29 20:00:00,7.0,37S,37.0,4.0,1.402,2.107,1.586,1.417,2.183
2024-05-29 20:00:00,7.0,37S,20.0,4.0,1.393,1.536,1.457,1.358,1.364
2024-05-29 20:00:00,7.0,37S,37.0,5.0,0.987,0.923,1.025,0.996,0.935
