,ID,value,Hours,Absorbance,Temperature,Cell_Line,Replicate,log10_transformed
0,20230717-9PM_680_25_3059_0,0.178,10.0,680,25,3059,0,-0.7495799976911061
1,20230717-9PM_680_25_3059_1,0.246,10.0,680,25,3059,1,-0.6090648928966209
2,20230717-9PM_680_25_3059_2,0.215,10.0,680,25,3059,2,-0.6675615400843947
3,20230717-9PM_680_25_3059_3,0.205,10.0,680,25,3059,3,-0.6882461389442457
4,20230717-9PM_680_25_3059_4,0.183,10.0,680,25,3059,4,-0.7375489102695706
5,20230717-9PM_680_25_3059_5,0.215,10.0,680,25,3059,5,-0.6675615400843947
6,20230717-9PM_680_25_3059_6,0.246,10.0,680,25,3059,6,-0.6090648928966209
7,20230717-9PM_680_25_3059_7,0.219,10.0,680,25,3059,7,-0.6595558851598816
8,20230717-9PM_750_25_3059_0,0.103,10.0,750,25,3059,0,-0.9871627752948278
9,20230717-9PM_750_25_3059_1,0.128,10.0,750,25,3059,1,-0.8927900303521317
10,20230717-9PM_750_25_3059_2,0.114,10.0,750,25,3059,2,-0.9430951486635274
11,20230717-9PM_750_25_3059_3,0.111,10.0,750,25,3059,3,-0.9546770212133425
12,20230717-9PM_750_25_3059_4,0.104,10.0,750,25,3059,4,-0.9829666607012196
13,20230717-9PM_750_25_3059_5,0.116,10.0,750,25,3059,5,-0.9355420107730815
14,20230717-9PM_750_25_3059_6,0.136,10.0,750,25,3059,6,-0.8664610916297825
15,20230717-9PM_750_25_3059_7,0.12,10.0,750,25,3059,7,-0.9208187539523752
16,20230717-9PM_680_25_1691_0,0.359,10.0,680,25,1691,0,-0.44490555142168087
17,20230717-9PM_680_25_1691_1,0.306,10.0,680,25,1691,1,-0.51427857351842
18,20230717-9PM_680_25_1691_2,0.377,10.0,680,25,1691,2,-0.42365864979420714
19,20230717-9PM_680_25_1691_3,0.324,10.0,680,25,1691,3,-0.48945498979338786
20,20230717-9PM_680_25_1691_4,0.273,10.0,680,25,1691,4,-0.563837352959244
21,20230717-9PM_680_25_1691_5,0.252,10.0,680,25,1691,5,-0.5985994592184559
22,20230717-9PM_680_25_1691_6,0.285,10.0,680,25,1691,6,-0.5451551399914898
23,20230717-9PM_680_25_1691_7,0.33,10.0,680,25,1691,7,-0.4814860601221125
24,20230717-9PM_750_25_1691_0,0.179,10.0,750,25,1691,0,-0.7471469690201068
25,20230717-9PM_750_25_1691_1,0.154,10.0,750,25,1691,1,-0.8124792791635369
26,20230717-9PM_750_25_1691_2,0.163,10.0,750,25,1691,2,-0.7878123955960422
27,20230717-9PM_750_25_1691_3,0.166,10.0,750,25,1691,3,-0.7798919119599449
28,20230717-9PM_750_25_1691_4,0.135,10.0,750,25,1691,4,-0.8696662315049939
29,20230717-9PM_750_25_1691_5,0.129,10.0,750,25,1691,5,-0.889410289700751
30,20230717-9PM_750_25_1691_6,0.145,10.0,750,25,1691,6,-0.8386319977650252
31,20230717-9PM_750_25_1691_7,0.172,10.0,750,25,1691,7,-0.7644715530924511
32,20230717-9PM_680_25_1690_0,0.203,10.0,680,25,1690,0,-0.6925039620867871
33,20230717-9PM_680_25_1690_1,0.359,10.0,680,25,1690,1,-0.44490555142168087
34,20230717-9PM_680_25_1690_2,0.572,10.0,680,25,1690,2,-0.24260397120697583
35,20230717-9PM_680_25_1690_3,0.279,10.0,680,25,1690,3,-0.5543957967264024
36,20230717-9PM_680_25_1690_4,0.292,10.0,680,25,1690,4,-0.5346171485515817
37,20230717-9PM_680_25_1690_5,0.285,10.0,680,25,1690,5,-0.5451551399914898
38,20230717-9PM_680_25_1690_6,0.333,10.0,680,25,1690,6,-0.4775557664936801
39,20230717-9PM_680_25_1690_7,0.245,10.0,680,25,1690,7,-0.6108339156354675
40,20230717-9PM_750_25_1690_0,0.133,10.0,750,25,1690,0,-0.8761483590329142
41,20230717-9PM_750_25_1690_1,0.183,10.0,750,25,1690,1,-0.7375489102695706
42,20230717-9PM_750_25_1690_2,0.319,10.0,750,25,1690,2,-0.4962093169428189
43,20230717-9PM_750_25_1690_3,0.169,10.0,750,25,1690,3,-0.7721132953863264
44,20230717-9PM_750_25_1690_4,0.173,10.0,750,25,1690,4,-0.7619538968712046
45,20230717-9PM_750_25_1690_5,0.168,10.0,750,25,1690,5,-0.7746907182741372
46,20230717-9PM_750_25_1690_6,0.194,10.0,750,25,1690,6,-0.712198270069774
47,20230717-9PM_750_25_1690_7,0.148,10.0,750,25,1690,7,-0.8297382846050426
48,20230717-9PM_680_25_2342_0,0.188,10.0,680,25,2342,0,-0.7258421507363202
49,20230717-9PM_680_25_2342_1,0.22,10.0,680,25,2342,1,-0.6575773191777937
50,20230717-9PM_680_25_2342_2,0.162,10.0,680,25,2342,2,-0.790484985457369
51,20230717-9PM_680_25_2342_3,0.254,10.0,680,25,2342,3,-0.595166283380062
52,20230717-9PM_680_25_2342_4,0.038,10.0,680,25,2342,4,-1.4202164033831899
