,ID,value,Hours,Absorbance,Temperature,Cell_Line,Replicate,log10_transformed
0,20230817-9AM_680_25_3059_0,1.785,71.0,680,25,3059,0,0.251638220448212
1,20230817-9AM_680_25_3059_1,1.685,71.0,680,25,3059,1,0.22659990520735745
2,20230817-9AM_680_25_3059_2,1.862,71.0,680,25,3059,2,0.26997967664532385
3,20230817-9AM_680_25_3059_3,1.941,71.0,680,25,3059,3,0.28802553538836284
4,20230817-9AM_680_25_3059_4,1.5,71.0,680,25,3059,4,0.17609125905568124
5,20230817-9AM_680_25_3059_5,2.063,71.0,680,25,3059,5,0.3144992279731516
6,20230817-9AM_680_25_3059_6,1.683,71.0,680,25,3059,6,0.22608411597582387
7,20230817-9AM_680_25_3059_7,1.938,71.0,680,25,3059,7,0.2873537727147465
8,20230817-9AM_750_25_3059_0,0.999,71.0,750,25,3059,0,-0.0004345117740176917
9,20230817-9AM_750_25_3059_1,0.944,71.0,750,25,3059,1,-0.02502800570193105
10,20230817-9AM_750_25_3059_2,1.027,71.0,750,25,3059,2,0.01157044359727816
11,20230817-9AM_750_25_3059_3,1.084,71.0,750,25,3059,3,0.03502928220236815
12,20230817-9AM_750_25_3059_4,0.927,71.0,750,25,3059,4,-0.0329202658555029
13,20230817-9AM_750_25_3059_5,1.013,71.0,750,25,3059,5,0.005609445360280386
14,20230817-9AM_750_25_3059_6,0.93,71.0,750,25,3059,6,-0.03151705144606486
15,20230817-9AM_750_25_3059_7,1.034,71.0,750,25,3059,7,0.014520538757923713
16,20230817-9AM_680_25_1691_0,1.984,71.0,680,25,1691,0,0.2975416678181598
17,20230817-9AM_680_25_1691_1,1.171,71.0,680,25,1691,1,0.06855689507236315
18,20230817-9AM_680_25_1691_2,1.502,71.0,680,25,1691,2,0.1766699326681496
19,20230817-9AM_680_25_1691_3,0.818,71.0,680,25,1691,3,-0.08724669632867703
20,20230817-9AM_680_25_1691_4,1.222,71.0,680,25,1691,4,0.08707120590653541
21,20230817-9AM_680_25_1691_5,1.008,71.0,680,25,1691,5,0.003460532109506489
22,20230817-9AM_680_25_1691_6,1.033,71.0,680,25,1691,6,0.014100321519620545
23,20230817-9AM_680_25_1691_7,1.026,71.0,680,25,1691,7,0.011147360775797479
24,20230817-9AM_750_25_1691_0,1.045,71.0,750,25,1691,0,0.01911629044707278
25,20230817-9AM_750_25_1691_1,0.587,71.0,750,25,1691,1,-0.23136189875238555
26,20230817-9AM_750_25_1691_2,0.812,71.0,750,25,1691,2,-0.09044397075882467
27,20230817-9AM_750_25_1691_3,0.46,71.0,750,25,1691,3,-0.3372421683184259
28,20230817-9AM_750_25_1691_4,0.719,71.0,750,25,1691,4,-0.14327110961711742
29,20230817-9AM_750_25_1691_5,0.578,71.0,750,25,1691,5,-0.23807216157947098
30,20230817-9AM_750_25_1691_6,0.543,71.0,750,25,1691,6,-0.265200170411153
31,20230817-9AM_750_25_1691_7,0.556,71.0,750,25,1691,7,-0.2549252084179425
32,20230817-9AM_680_25_1690_0,1.672,71.0,680,25,1690,0,0.22323627310299757
33,20230817-9AM_680_25_1690_1,2.301,71.0,680,25,1690,1,0.36191661866864344
34,20230817-9AM_680_25_1690_2,2.091,71.0,680,25,1690,2,0.3203540328176719
35,20230817-9AM_680_25_1690_3,1.062,71.0,680,25,1690,3,0.026124516745450282
36,20230817-9AM_680_25_1690_4,1.073,71.0,680,25,1690,4,0.030599721965951066
37,20230817-9AM_680_25_1690_5,1.412,71.0,680,25,1690,5,0.14983469671578492
38,20230817-9AM_680_25_1690_6,1.966,71.0,680,25,1690,6,0.29358351349611683
