"","Condition","Temperature","Colony","Rep","OD","Area"
"117","20S","20","12","2",1.117,72.0889582525665
"118","20S","20","12","3",1.144,82.1454633897283
"119","20S","20","12","4",1.092,69.3759448358664
"120","20S","20","12","5",1.204,73.1240344992614
"121","37S","37","1","1",1.475,91.3630456594809
"122","37S","37","1","2",1.223,67.4982450143984
"123","37S","37","1","3",1.534,94.2605680170323
"124","37S","37","1","4",1.456,83.5050399116492
"125","37S","37","1","5",1.06,62.2061372038179
"126","37S","20","1","1",1.089,72.4360461068737
"127","37S","20","1","2",1.049,79.2553036713062
"128","37S","20","1","3",1.221,90.1101802711519
"129","37S","20","1","4",1.083,77.3544880758365
"130","37S","20","1","5",1.269,87.4140870560634
"131","37S","37","2","1",1.261,68.2882826334333
"132","37S","37","2","2",1.47,61.3800803207907
"133","37S","37","2","3",1.208,68.5016297718062
"134","37S","37","2","4",1.179,57.3448844579537
"135","37S","37","2","5",1.143,71.6178965047216
"136","37S","20","2","1",1.155,71.4039816335773
"137","37S","20","2","2",1.015,56.9757521688569
"138","37S","20","2","3",1.139,67.7102991283797
"139","37S","20","2","4",1.052,55.1754587311698
"140","37S","20","2","5",1.315,76.1720207375116
"141","37S","37","3","1",1.482,81.4402866418718
"142","37S","37","3","2",1.314,73.6836338947303
"143","37S","37","3","3",1.293,73.9497054022388
"144","37S","37","3","4",2.011,102.366497138805
"145","37S","37","3","5",1.627,90.629582299655
"146","37S","20","3","1",1.196,78.9378580905382
"147","37S","20","3","2",1.448,105.883345003551
"148","37S","20","3","3",1.475,108.599901950946
"149","37S","20","3","4",1.083,82.8476489120875
"150","37S","20","3","5",1.298,87.13628792074
"151","37S","37","4","1",0.531,51.2981235200057
"152","37S","37","4","2",0.469,57.04567233946
"153","37S","37","4","3",0.418,62.2387116047479
"154","37S","37","4","4",0.766,47.7630361848455
"155","37S","37","4","5",0.269,52.0776022934823
"156","37S","20","4","1",0.912,59.5501008841305
"157","37S","20","4","2",0.952,62.1920892953065
"158","37S","20","4","3",1.045,70.0298163723864
"159","37S","20","4","4",0.87,57.127463172579
"160","37S","20","4","5",0.962,76.1273645599991
"161","37S","37","5","1",1.52,84.8756883372747
"162","37S","37","5","2",1.677,88.4460938198873
"163","37S","37","5","3",1.884,89.5097455624625
"164","37S","37","5","4",1.819,88.6818805955291
"165","37S","37","5","5",1.421,76.8957769509611
"166","37S","20","5","1",0.685,65.8604892525997
"167","37S","20","5","2",0.999,87.251928534124
"168","37S","20","5","3",1.824,110.941638646915
"169","37S","20","5","4",1.043,89.5080188886502
"170","37S","20","5","5",0.966,77.4346749718723
"171","37S","37","6","1",1.978,105.69713835196
"172","37S","37","6","2",2.076,111.8958126076
"173","37S","37","6","3",2.042,97.6469769610692
"174","37S","37","6","4",1.967,90.7475136803043
"175","37S","37","6","5",1.555,83.116064209422
"176","37S","20","6","1",0.998,72.9718011735842
"177","37S","20","6","2",1.825,76.6535705005146
"178","37S","20","6","3",1.247,65.4776740980277
"179","37S","20","6","4",1.586,75.8493043870238
"180","37S","20","6","5",0.935,70.1965680240502
"181","37S","37","7","1",1.965,98.5487261917523
"182","37S","37","7","2",1.751,71.253924022026
"183","37S","37","7","3",1.511,81.761262598063
"184","37S","37","7","4",1.781,89.7398039530785
"185","37S","37","7","5",1.724,92.7743698815842
"186","37S","20","7","1",1.78,66.7682416507205
"187","37S","20","7","2",0.86,70.3075355463033
"188","37S","20","7","3",1.218,71.1356023653963
"189","37S","20","7","4",1.236,74.5981338254143
"190","37S","20","7","5",0.936,76.397225117333
"191","37S","37","8","1",1.574,86.6376239378254
"192","37S","37","8","2",1.643,78.1122840931478
"193","37S","37","8","3",1.504,86.5481029776243
"194","37S","37","8","4",1.556,82.9527250168252
"195","37S","37","8","5",1.719,79.8936123323599
"196","37S","20","8","1",1.029,69.6611960695602
"197","37S","20","8","2",2.05,79.2547611071532
"198","37S","20","8","3",1.121,84.8275647990975
"199","37S","20","8","4",1.885,94.8945055271629
"200","37S","20","8","5",1.028,86.5309672588817
"201","37S","37","9","1",1.668,94.3466846950525
"202","37S","37","9","2",1.806,106.203651481779
"203","37S","37","9","3",1.578,89.1428861725381
"204","37S","37","9","4",1.946,88.835155250775
"205","37S","37","9","5",2.034,89.1476927197065
"206","37S","20","9","1",0.948,64.2876717176533
"207","37S","20","9","2",1.098,67.7638826284442
"208","37S","20","9","3",0.907,58.3338719600228
"209","37S","20","9","4",0.888,62.7083052432059
"210","37S","20","9","5",0.8,56.9996221770986
"211","37S","37","10","1",1.066,68.2521695373168
"212","37S","37","10","2",1.579,117.975567004714
"213","37S","37","10","3",1.222,80.3196120451477
"214","37S","37","10","4",1.626,117.649988888569
"215","37S","37","10","5",1.109,80.8819335221376
"216","37S","20","10","1",1.137,76.6882639067208
"217","37S","20","10","2",1.273,93.0674608673976
"218","37S","20","10","3",0.982,69.6129909933184
"219","37S","20","10","4",1.367,94.1837395449112
"220","37S","20","10","5",1.17,78.8089571121808
"221","37S","37","11","1",1.599,87.7405439764119
"222","37S","37","11","2",1.735,97.4642645595172
"223","37S","37","11","3",1.423,71.938389683598
"224","37S","37","11","4",1.525,91.2187221490477
"225","37S","37","11","5",1.667,78.4812740460532
"226","37S","20","11","1",0.935,74.2123872040107
"227","37S","20","11","2",0.902,65.6309838945561
"228","37S","20","11","3",0.888,68.6743268027256
"229","37S","20","11","4",1.072,69.9488561234552
"230","37S","20","11","5",0.841,60.9395677701803
"231","37S","37","12","1",1.7,100.707222170107
"232","37S","37","12","2",2.116,132.70036014707
"233","37S","37","12","3",1.46,87.7823865406524
"234","37S","37","12","4",1.985,117.847612797406
"235","37S","37","12","5",1.891,105.469996241872
"236","37S","20","12","1",1.035,80.6511933064987
"237","37S","20","12","2",1.022,73.974316881291
"238","37S","20","12","3",1.082,73.2262547578542
"239","37S","20","12","4",1.013,81.5874081175134
"240","37S","20","12","5",1.168,83.4703729122822
"241","P","37","1","1",1.599,100.558189348858
"242","P","37","1","2",1.397,100.695830230456
"243","P","37","1","3",1.785,124.314463996074
"244","P","37","1","4",1.45,97.2632014892046
"245","P","37","1","5",1.717,107.814003551399
"246","P","20","1","1",1.245,81.508082165369
"247","P","20","1","2",1.333,88.4918255271932
"248","P","20","1","3",1.168,91.320230303169
"249","P","20","1","4",1.162,88.0196536423863
"250","P","20","1","5",1.46,101.702545659001
"251","P","37","2","1",1.595,96.0123593933454
"252","P","37","2","2",1.259,82.3264214460893
"253","P","37","2","3",1.52,94.3227715815299
"254","P","37","2","4",1.146,80.0713371283333
"255","P","37","2","5",0.943,63.9652860509175
"256","P","20","2","1",1.283,80.6232554043854
"257","P","20","2","2",1.261,81.5850615296919
"258","P","20","2","3",1.275,82.2773384007163
