"","Cell_Line","Temperature","Time","Rep","Area","Batch","Incubator","Day"
"95","CC1690",16,80,6,13.9951361174708,"1","B",NA
"96","CC1690",16,80,7,17.2975486022642,"1","B",NA
"97","CC1690",16,92,0,21.2302458626278,"1","B",NA
"98","CC1690",16,92,1,34.6639374056633,"1","B",NA
"99","CC1690",16,92,2,8.38766248408328,"1","B",NA
"100","CC1690",16,92,3,31.7085629079953,"1","B",NA
"101","CC1690",16,92,4,21.5875047858774,"1","B",NA
"102","CC1690",16,92,5,44.1015422992905,"1","B",NA
"103","CC1690",16,92,6,19.0446339651024,"1","B",NA
"104","CC1690",16,92,7,25.141410212473,"1","B",NA
"105","CC1690",16,98,0,25.2037732661697,"1","B","4"
"106","CC1690",16,98,1,40.369572322868,"1","B","4"
"107","CC1690",16,98,2,10.5127694801514,"1","B","4"
"108","CC1690",16,98,3,37.039503121632,"1","B","4"
"109","CC1690",16,98,4,24.9361803692472,"1","B","4"
"110","CC1690",16,98,5,48.4165649422925,"1","B","4"
"111","CC1690",16,98,6,21.9231711912878,"1","B","4"
"112","CC1690",16,98,7,30.3627485619063,"1","B","4"
"113","CC1690",16,104,0,30.103792387495,"1","B",NA
"114","CC1690",16,104,1,47.1934185473276,"1","B",NA
"115","CC1690",16,104,2,13.1646913184585,"1","B",NA
"116","CC1690",16,104,3,43.3559067018125,"1","B",NA
"117","CC1690",16,104,4,28.8769294999861,"1","B",NA
"118","CC1690",16,104,5,53.3205021277711,"1","B",NA
"119","CC1690",16,104,6,25.3654500993108,"1","B",NA
"120","CC1690",16,104,7,36.6691802931965,"1","B",NA
"121","CC1690",16,127,0,56.589575175303,"1","B",NA
"122","CC1690",16,127,1,78.0677868343493,"1","B",NA
"123","CC1690",16,127,2,30.2511583699018,"1","B",NA
"124","CC1690",16,127,3,77.3573452749898,"1","B",NA
"125","CC1690",16,127,4,50.326892486919,"1","B",NA
"126","CC1690",16,127,5,62.2979823368254,"1","B",NA
